信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,当前资产,累计利润率
2015-12-29,sz159915,30500.0,2.58,78697.869,2.539,77431.75605,-1266.1129500000097,-0.016088274893441012,78735.18310000002,0.6070153075906466
2015-12-31,sh511010,700.0,109.845,76899.18915,109.967,76969.20231,70.01315999998769,0.0009104538132829933,77469.07015000001,0.6079257614039296
2016-01-25,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77539.08331,0.6079257614039296
2016-01-26,sh511010,700.0,110.028,77027.30196000001,109.829,76872.61196999998,-154.68999000002805,-0.0020082488424735165,77539.08331,0.6059175125614561
2016-01-27,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77384.39331999997,0.6059175125614561
2016-01-29,sh511010,700.0,109.806,76871.88642,110.11,77069.2923,197.4058800000057,0.002567985374021549,77384.39331999997,0.6084854979354777
2016-02-15,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77581.79919999998,0.6084854979354777
2016-02-16,sz159915,36900.0,2.099,77460.84531,1.896,69955.40376,-7505.441550000003,-0.09689335973501272,77581.79919999998,0.511592138200465
2016-02-25,sh511010,600.0,110.279,66174.01673999999,110.53,66311.3682,137.35146000000532,0.0020756101377322157,70076.35764999998,0.5136677483381972
2016-03-01,sh510050,35600.0,1.971,70174.61676,2.171,77279.87124,7105.254479999989,0.10125106210840086,70213.70910999998,0.614918810446598
2016-03-23,sz159915,35900.0,2.148,77120.91132000001,2.03,72869.7123,-4251.199020000015,-0.055123817227216,77318.96358999997,0.559794993219382
2016-04-20,sh511010,600.0,111.129,66684.06774000001,110.653,66385.16082,-298.90692000000854,-0.004482433812607853,73067.76456999996,0.5553125594067742
2016-04-21,sh510050,33900.0,2.146,72756.67494,2.144,72674.33184000001,-82.34309999998368,-0.0011317600765550278,72768.85764999995,0.5541807993302191
2016-04-27,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72686.51454999996,0.5541807993302191
2016-05-05,sh510050,33700.0,2.151,72495.94887,2.103,70864.01289000001,-1631.9359799999802,-0.022510719639332866,72686.51454999996,0.5316700796908863
2016-05-06,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71054.57856999998,0.5316700796908863
2016-05-12,sh511010,600.0,111.242,66751.87452,111.026,66608.93844,-142.9360799999995,-0.0021413043607812605,71054.57856999998,0.529528775330105
2016-05-16,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70911.64248999998,0.529528775330105
2016-05-19,sh511010,600.0,110.835,66507.6501,110.891,66527.94654,20.296440000005532,0.0003051745170591365,70911.64248999998,0.5298339498471641
2016-05-31,sh510050,32800.0,2.16,70855.0848,2.142,70250.57423999999,-604.5105600000097,-0.008531646835316606,70931.93892999999,0.5213023030118475
2016-06-01,sh511010,600.0,110.904,66549.05424,110.8,66473.352,-75.70223999999871,-0.0011375404333619679,70327.42836999998,0.5201647625784855
2016-06-02,sz159915,33600.0,2.088,70163.81568,1.967,66084.59088,-4079.2247999999963,-0.05813858269345474,70251.72612999998,0.4620261798850308
2016-06-14,sh510050,31400.0,2.101,65977.99713999999,2.109,66215.97774,237.98060000000987,0.0036069691460174857,66172.50132999998,0.4656331490310483
2016-06-15,sz159915,32500.0,2.04,66306.63,2.007,65220.97725000001,-1085.6527499999938,-0.016373215619614415,66410.48193,0.4492599334114339
2016-06-21,sh510050,30900.0,2.112,65267.32608,2.124,65625.03684,357.71076000000176,0.005480701929807047,65324.82918,0.45474063534124093
2016-06-22,sz159915,31900.0,2.055,65561.05545,2.155,68737.62555,3176.570099999997,0.04845208909765954,65682.53994,0.5031927244389005
2016-07-12,sh510050,30800.0,2.233,68783.27764000001,2.236,68861.91312,78.63547999998264,0.0011432354301513135,68859.11004,0.5043359598690518
2016-07-13,sz159915,31500.0,2.188,68928.8922,2.167,68253.67395,-675.2182500000054,-0.009795866848415784,68937.74551999998,0.494540093020636
